launch,workers,wall-clock (s),speedup
serial,--,160.1,1.0x
``-n 3``,2,89.5,1.8x
``-n 5``,4,46.0,3.5x
``-n 9``,8,29.4,5.4x
``-n 13``,12,23.7,6.8x
